年月,港口別,艘次總計,總噸位總計,中華民國艘次,中華民國總噸位,日本艘次,日本總噸位,韓國艘次,韓國總噸位,香港艘次,香港總噸位, 中國大陸艘次,中國大陸總噸位,越南艘次,越南總噸位,泰國艘次,泰國總噸位,馬來西亞艘次,馬來西亞總噸位,新加坡艘次,新加坡總噸位,菲律賓艘次,菲律賓總噸位,柬埔寨艘次,柬埔寨總噸位,印尼艘次,印尼總噸位,印度艘次,印度總噸位,沙烏地阿拉伯艘次,沙烏地阿拉伯,科威特艘次,科威特總噸位,賴比瑞亞艘次,賴比瑞亞總噸位,美國艘次,美國總噸位,巴拿馬艘次,巴拿馬總噸位,巴哈馬艘次,巴哈馬總噸位,宏都拉斯艘次,宏都拉斯總噸位,聖文森艘次,聖文森總噸位,安地瓜巴布達艘次,安地瓜巴布達總噸位,安地卡艘次,安地卡總噸位,貝里斯艘次,貝里斯總噸位,紐西蘭艘次,紐西蘭總噸位,吐瓦魯艘次,吐瓦魯總噸位,馬紹爾群島艘次,馬紹爾群島總噸位,法國艘次,法國總噸位,德國艘次,德國總噸位,義大利艘次,義大利總噸位,荷蘭艘次,荷蘭總噸位,英國艘次,英國總噸位,挪威艘次,挪威總噸位,丹麥艘次,丹麥總噸位,葡萄牙艘次,葡萄牙總噸位,希臘艘次,希臘總噸位,塞浦路斯艘次,塞浦路斯總噸位,馬爾他艘次,馬爾他總噸位,其他國籍艘次,其他國籍總噸位
200112,國際商港,3039,44854552,899,8540222,35,497903,69,733501,60,1100573,0,0,10,93468,6,41473,32,609044,181,3081065,14,214449,10,95633,18,78136,3,76733,1,26464,3,449013,221,5255428,19,971478,971,13601674,28,599572,11,5389,76,539645,29,365115,0,0,15,60021,0,0,0,0,21,470010,1,40068,41,1106956,8,405219,6,115648,13,542589,24,340345,19,1387610,0,0,14,498172,61,1045510,52,687757,68,1178669
200201,國際商港,2955,43793640,867,8252505,27,349234,73,643731,55,1135386,0,0,10,87043,1,3988,32,719226,182,2954451,9,196505,8,78341,15,82479,1,41671,7,225170,1,48154,207,4885890,20,781992,950,14047683,29,740365,9,2560,76,583265,31,402526,0,0,21,77813,0,0,0,0,18,342588,2,204319,34,1108273,5,259110,8,193327,9,443629,22,395963,14,1153641,0,0,13,599776,49,771628,56,719969,94,1261439
200202,國際商港,2377,36555197,680,6946994,16,283271,55,745417,28,756344,0,0,10,79628,5,50379,28,388498,150,2669617,12,301579,9,113520,5,25807,2,33651,0,0,2,74510,162,4137871,15,754905,781,10973465,21,519823,1,251,61,522479,30,452213,0,0,20,57626,0,0,0,0,13,195988,0,0,29,807304,12,558013,5,64999,11,441158,16,297497,19,1241766,0,0,13,476632,39,627060,48,653021,79,1303911
200203,國際商港,3126,45749206,929,9071798,33,272903,84,537135,34,961981,0,0,16,153423,9,84755,39,923527,198,3333953,22,314536,7,61371,14,98928,4,89509,9,274948,0,0,181,3967203,21,1099034,983,14297261,39,766488,7,1367,89,647940,59,665292,0,0,11,48128,0,0,0,0,19,435515,2,128453,33,935874,8,353925,4,28999,17,825892,27,484297,21,1515274,0,0,14,694052,47,708754,36,403308,110,1563383
200204,國際商港,3139,46274462,918,8506277,26,220775,72,664304,43,959204,0,0,20,201730,4,27542,38,822821,171,3000676,17,255963,15,104560,10,46778,6,104841,2,74618,2,96308,196,5202864,18,874359,954,13882522,37,644471,5,9436,114,898454,57,705556,0,0,23,104993,0,0,0,0,14,319212,1,40068,48,1420334,5,257716,8,147702,17,792475,25,367804,18,1329065,0,0,13,567928,61,1080214,50,650184,131,1892708
200205,國際商港,3311,48838527,1010,9122081,34,143520,79,480696,50,1311241,0,0,21,184997,1,3293,51,874016,198,3460826,14,180012,12,146476,14,83213,1,38852,5,161561,1,149647,199,5300833,16,875432,964,14201865,35,502787,5,6480,111,871582,58,655478,0,0,19,85953,0,0,0,0,15,351230,0,0,43,1365781,8,391767,8,128131,19,844872,33,606503,19,1392156,0,0,19,793035,54,832071,48,830845,147,2461295
200206,國際商港,3106,45620706,968,9207325,27,272133,84,650399,40,1023459,0,0,19,184490,0,0,47,655319,181,3057404,12,228827,14,46017,15,100858,1,25905,3,101082,1,48154,174,5036085,12,610245,946,13534185,35,527180,3,13259,114,920524,39,568026,0,0,19,77631,0,0,0,0,18,463511,0,0,34,1148087,7,293138,9,216091,16,827663,25,409583,17,1250766,0,0,14,585958,71,1119604,26,492568,115,1925230
200207,國際商港,3171,48099289,972,8630319,17,163654,82,513936,51,1301068,0,0,21,223349,5,47742,38,715161,169,3007577,15,177443,12,103930,23,131217,4,119555,2,77135,1,48154,182,5238647,12,621863,962,14434876,41,872982,5,25235,110,889344,42,502199,0,0,17,67983,0,0,0,0,26,671797,3,271100,33,1085230,9,396268,11,126447,29,1503075,24,398787,17,1337034,0,0,12,482940,73,1113742,35,576129,116,2223371
200208,國際商港,3291,48773994,1023,9835270,14,232735,96,607023,59,1333948,0,0,22,178017,6,55357,48,788352,190,3067611,22,319983,22,58277,17,102891,3,57707,2,74618,2,197801,193,5188027,11,565795,956,13621076,48,839467,2,19984,103,735295,47,624079,0,0,10,39937,0,0,0,0,27,806937,0,0,32,930949,5,226811,11,181842,18,1018708,26,501384,19,1383218,0,0,19,943272,86,1493954,24,482897,128,2260772
200209,國際商港,3068,46622388,917,8860740,18,184270,82,500864,76,1667089,0,0,14,153665,2,24916,40,725968,176,2864599,12,190835,9,54336,12,81912,2,80344,0,0,1,48154,193,4967225,10,501293,930,13329551,31,563375,5,40219,102,833674,36,438756,0,0,16,48402,0,0,0,0,24,667392,1,164251,34,1162122,5,261835,10,155538,24,1170896,29,619081,20,1387363,0,0,26,1202458,73,1193994,37,831984,101,1645287
200210,國際商港,3169,46383519,980,8979208,28,296123,80,534291,69,1317704,0,0,5,53908,10,120374,40,747470,151,2573628,14,136016,5,48749,17,110462,3,95743,3,103599,2,197873,126,2599149,10,531725,952,13289055,6,177951,4,39968,37,349976,13,162033,0,0,14,41128,0,0,1,23847,4,101759,5,400910,31,971089,5,259069,11,106853,24,1148418,9,133896,0,0,0,0,5,202946,38,550124,16,257183,451,9721292
200211,國際商港,2951,45457128,855,8756998,17,226155,70,444378,84,1836904,0,0,13,133842,2,17013,32,628329,171,3228936,17,204405,15,153784,13,79488,4,106780,1,48154,3,357811,121,2470206,9,469792,879,12432340,8,213650,3,29976,28,242672,5,60632,0,0,17,52839,0,0,0,0,7,177558,1,18597,33,1083850,7,378570,8,58545,24,1151784,13,237403,0,0,0,0,5,192720,35,512232,15,201726,436,9249059
200212,國際商港,3082,46136315,884,8797815,20,261474,74,442715,87,1440531,0,0,21,209837,2,27525,43,771609,153,2858306,20,347635,13,137307,14,87970,3,86217,2,63609,0,0,113,2303331,11,470395,940,13656590,6,143432,2,19984,35,331993,9,153747,0,0,28,87737,0,0,0,0,10,225627,1,50757,40,1226962,5,197319,15,130405,20,1083208,7,118333,1,10471,0,0,6,179693,41,672852,14,230354,442,9310575
200301,國際商港,3089,47181196,902,8986117,16,224799,93,703324,86,1680115,0,0,46,407643,1,19888,34,556659,160,2714875,15,248627,24,145578,19,68035,0,0,3,92590,2,96308,212,5745714,19,729103,910,13293115,35,646305,5,40189,91,773413,30,442433,0,0,46,154354,0,0,0,0,27,627090,1,28226,37,1217097,9,454737,13,143744,31,1425506,27,690524,22,1399054,0,0,16,913928,48,795393,32,528353,77,1188360
