年月,港口別,艘次總計,總噸位總計,中華民國艘次,中華民國總噸位,日本艘次,日本總噸位,韓國艘次,韓國總噸位,香港艘次,香港總噸位, 中國大陸艘次,中國大陸總噸位,越南艘次,越南總噸位,泰國艘次,泰國總噸位,馬來西亞艘次,馬來西亞總噸位,新加坡艘次,新加坡總噸位,菲律賓艘次,菲律賓總噸位,柬埔寨艘次,柬埔寨總噸位,印尼艘次,印尼總噸位,印度艘次,印度總噸位,沙烏地阿拉伯艘次,沙烏地阿拉伯,科威特艘次,科威特總噸位,賴比瑞亞艘次,賴比瑞亞總噸位,美國艘次,美國總噸位,巴拿馬艘次,巴拿馬總噸位,巴哈馬艘次,巴哈馬總噸位,宏都拉斯艘次,宏都拉斯總噸位,聖文森艘次,聖文森總噸位,安地瓜巴布達艘次,安地瓜巴布達總噸位,安地卡艘次,安地卡總噸位,貝里斯艘次,貝里斯總噸位,紐西蘭艘次,紐西蘭總噸位,吐瓦魯艘次,吐瓦魯總噸位,馬紹爾群島艘次,馬紹爾群島總噸位,法國艘次,法國總噸位,德國艘次,德國總噸位,義大利艘次,義大利總噸位,荷蘭艘次,荷蘭總噸位,英國艘次,英國總噸位,挪威艘次,挪威總噸位,丹麥艘次,丹麥總噸位,葡萄牙艘次,葡萄牙總噸位,希臘艘次,希臘總噸位,塞浦路斯艘次,塞浦路斯總噸位,馬爾他艘次,馬爾他總噸位,其他國籍艘次,其他國籍總噸位
201409,國際商港,3134,59470896,862,7657550,21,460396,58,641545,404,7670471,239,1938528,10,225603,6,38358,13,646175,276,7852514,4,30894,8,29605,7,75870,2,218056,2,53574,0,0,200,6803515,2,3226,566,12186886,55,3005220,3,8505,1,1059,50,532723,0,0,21,80082,0,0,2,9422,92,2217041,5,231547,18,1509050,10,514211,1,7949,34,1537325,12,362436,1,29242,6,249034,8,555927,29,624107,23,706551,83,756699
201410,國際商港,3126,60340412,854,7995760,18,334424,66,525746,379,7238053,218,2011473,11,176467,7,62280,11,463117,281,7216541,7,58777,13,44642,7,101793,0,0,3,88725,0,0,209,8106871,0,0,599,12959094,41,2195087,0,0,4,41649,41,429325,0,0,12,39482,0,0,1,1734,114,2852676,3,42396,14,1082457,6,319336,1,13706,42,2203264,13,517276,1,19812,4,94910,6,350643,36,900372,24,671445,80,1181079
201411,國際商港,3032,56112581,841,7915688,20,463672,63,417843,410,7929966,235,2098590,8,156274,8,86202,10,483221,299,7747443,2,19186,10,43926,6,84402,0,0,1,29575,0,0,172,6331399,0,0,565,12237242,21,616131,0,0,1,2057,38,467252,0,0,15,59184,0,0,2,6307,100,2468673,1,14132,15,1271345,4,227780,2,13752,30,1255841,7,195765,1,92293,4,212788,3,366681,29,680687,31,932927,78,1184357
201412,國際商港,3036,58523033,771,7534067,24,583477,63,536628,416,7935961,234,2152873,13,247454,8,82171,7,455615,305,8431436,0,0,7,23643,6,84402,1,30095,1,23999,0,0,182,6936160,1,65,547,12305371,22,999733,0,0,2,39372,39,497207,0,0,15,37162,0,0,1,1734,124,2768893,3,119674,13,1246353,5,275968,3,29885,37,1638175,12,375032,8,299215,1,18123,2,172842,25,566806,33,999920,105,1073522
201501,國際商港,3094,59157651,796,8012880,21,339281,58,406883,390,7339527,236,2022216,11,164088,6,73416,10,628331,306,7954329,3,56114,18,58007,10,156352,0,0,2,53574,1,158503,184,6932106,1,1416,569,12077372,29,830098,0,0,3,41460,42,454364,0,0,18,61900,0,0,3,8567,125,3392287,1,14132,12,995424,5,261232,2,29568,37,1642889,8,233506,4,191087,5,137519,14,900292,37,1032570,41,1169703,86,1326658
201502,國際商港,2543,48629473,644,6927151,18,339549,61,518161,335,6404149,191,1792794,8,136426,5,25919,8,316840,280,7260049,2,60692,15,33615,8,85490,0,0,0,0,0,0,128,4985115,1,12810,472,9764749,25,1086079,0,0,0,0,36,490054,0,0,11,32433,0,0,2,5954,88,2207514,1,14132,10,915213,2,84040,1,8620,30,1330048,8,275508,1,92198,6,345338,6,347101,43,917607,28,1140198,69,673927
201503,國際商港,3127,60013722,798,8022757,21,388003,78,652313,421,7839033,240,2140073,13,213352,5,31310,11,651416,335,9435538,3,49447,8,23152,7,58118,0,0,5,141892,1,162625,143,5070370,1,16,573,13122814,46,1976420,0,0,0,0,44,623435,0,0,17,31881,0,0,3,11156,119,2876422,1,91410,11,900531,11,603191,2,10601,30,1149994,7,278433,4,198419,2,70703,4,357272,49,977412,33,1165173,81,689040
201504,國際商港,3227,65684472,815,8484194,33,859430,74,690403,429,8814854,260,2270205,6,109184,8,52624,11,398454,322,8786703,3,59301,21,84006,7,106779,1,8253,9,291076,0,0,166,7085446,0,0,537,11843891,44,1818671,0,0,2,2773,51,621603,0,0,19,51936,0,0,0,0,110,3006983,1,14132,21,1616289,7,370020,1,5469,44,2370899,8,302464,5,464884,1,86601,10,669331,66,1225301,49,2188149,86,924164
201505,國際商港,3309,67734473,884,8220156,35,658453,55,684867,426,7817524,283,2551746,11,132308,6,39838,9,556481,330,9340184,10,124228,17,71493,4,49620,1,57144,9,260613,1,158503,178,7386010,0,0,530,13276092,57,3030838,0,0,1,1830,63,866689,0,0,20,65760,0,0,2,3994,118,2935598,3,196952,16,1132497,8,435491,1,5469,56,3307820,1,18405,7,533204,6,228351,4,338597,67,1196492,30,1302627,60,748599
201506,國際商港,3179,64274434,813,8097195,40,674689,64,455264,418,7620171,268,2137554,14,197521,6,38358,15,812936,341,9306538,6,147497,6,24690,5,52162,0,0,3,83149,2,221448,177,7671061,2,7317,507,12697817,55,2455397,1,1984,1,9096,75,1049406,0,0,11,34990,0,0,3,15686,88,2191893,3,189192,13,902668,8,405726,3,47441,40,2381743,9,286816,2,185789,6,346332,2,194992,63,1047045,33,1142727,76,1140144
201507,國際商港,3164,64417893,826,8131668,17,270926,65,598333,394,7025318,253,2408295,11,164206,9,110124,11,466018,346,9352135,5,75832,7,20584,4,49620,0,0,5,141500,2,221943,185,7811624,0,0,502,12108147,48,2226538,4,20296,2,2118,62,849236,0,0,11,36306,0,0,0,0,84,2405480,1,14132,21,1699407,7,354471,3,22143,42,2103350,9,294172,9,761054,13,568695,8,528610,77,1353961,44,1499189,77,722462
201508,國際商港,3113,63086066,749,7433103,16,231149,59,610269,450,8380637,267,2484656,13,199787,11,167090,5,391746,333,9049699,3,26513,8,25868,7,67949,0,0,5,146684,0,0,193,7990872,4,116603,513,12602030,55,2553324,2,9194,1,1830,55,703722,0,0,6,29984,0,0,0,0,100,2920186,3,119674,9,844838,12,592413,3,35544,36,1638184,5,125765,11,883812,10,302609,2,194992,62,1056544,23,580125,82,568671
201509,國際商港,3083,63344289,781,8503238,18,507787,58,523183,411,7828600,257,2239357,7,140173,13,202983,7,620128,349,8959710,2,14324,10,42988,6,75830,0,0,7,199406,0,0,165,7007752,0,0,499,12074825,57,2564607,4,17316,3,4603,46,508376,0,0,16,66504,0,0,1,7457,90,2202129,2,28264,13,1224260,6,327187,2,7448,42,2503781,6,168094,11,811843,12,461578,2,78293,62,1092944,37,1398165,81,931156
201510,國際商港,3168,64550199,789,8557594,19,572968,65,526156,404,7487309,264,2503620,9,150321,11,190370,6,313316,360,9402943,4,25452,10,29621,7,73851,0,0,5,141485,0,0,165,7100256,2,65870,541,12625525,50,2175777,8,30374,3,4719,44,531600,0,0,17,49089,0,0,2,10800,105,3168742,3,119674,14,1316650,8,382472,5,41359,34,1671924,3,167228,13,1139119,13,389326,7,302725,48,1004380,33,1329693,97,947891
201511,國際商港,3085,62470214,758,8763362,23,760016,67,510577,413,7590939,279,2350435,9,125213,12,158294,9,506391,341,9264307,1,9910,10,26134,6,59095,1,56854,6,175683,0,0,155,6205845,1,3180,508,11729969,44,1845462,11,36084,1,1059,50,557876,0,0,17,47650,0,0,1,1734,88,2734289,1,14132,11,992687,12,621166,1,855,38,2073721,8,315488,11,815921,19,669991,4,332200,40,956530,28,1311337,101,845828
201512,國際商港,3217,64367362,738,8606513,18,331578,75,720535,429,8227346,270,2416223,15,249980,8,121260,11,355221,381,10498454,4,61114,11,37343,8,89330,0,0,5,142299,0,0,167,7004585,1,14,533,11975258,42,1594591,4,9072,3,17753,51,578106,0,0,44,89068,0,0,1,2977,104,2775367,4,133806,11,1081849,8,283339,2,19846,38,1916178,3,102138,7,646779,20,548215,9,533287,49,1022572,33,1317420,110,857946
200101,基隆港,674,8995569,181,1527975,6,153515,13,127726,18,259531,0,0,0,0,0,0,10,111401,39,506555,6,171688,3,17326,1,5464,1,23797,1,28981,0,0,47,793287,0,0,199,2667075,0,0,0,0,20,126982,21,297046,0,0,9,29359,0,0,0,0,8,119403,1,37235,19,436200,0,0,2,54728,0,0,9,172741,0,0,0,0,0,0,20,427760,5,32008,35,867786
200102,基隆港,694,9607011,168,1442129,9,268634,16,252962,22,278987,0,0,2,7974,0,0,9,95552,44,661950,6,65825,1,932,0,0,1,23797,0,0,0,0,42,749493,1,20,219,2921771,0,0,1,477,20,121087,16,221858,0,0,3,6970,0,0,0,0,9,143400,1,37235,18,431101,0,0,4,141346,0,0,7,137441,0,0,0,0,1,37518,15,288329,10,120744,49,1149479
200103,基隆港,823,10967300,201,1563255,7,161477,16,146156,28,368739,0,0,2,22544,3,30990,16,160508,50,723413,7,120820,5,26046,1,5552,0,0,1,28981,0,0,56,1105752,0,0,253,3341909,0,0,1,1492,28,189387,19,281814,0,0,0,0,0,0,0,0,11,179776,2,37238,20,505918,1,38395,6,154181,0,0,12,190630,0,0,0,0,0,0,23,314700,7,102684,47,1164943
200104,基隆港,839,10357094,241,1645062,14,287382,13,174743,24,282426,0,0,2,22544,5,51650,14,154259,40,577004,6,47495,2,20048,0,0,0,0,1,5253,0,0,55,1089616,1,32629,237,3247554,0,0,2,4508,24,138917,22,290825,0,0,13,25110,0,0,0,0,13,192657,2,55832,15,361191,0,0,3,93634,0,0,4,36740,0,0,0,0,0,0,24,378791,11,126744,51,1014480
200105,基隆港,814,10737551,235,1745888,8,179566,9,99220,29,347805,0,0,1,11272,5,44613,15,155801,46,697945,9,183123,0,0,0,0,0,0,1,28981,0,0,52,992606,3,97887,238,3617654,0,0,1,9992,25,159985,14,163623,0,0,11,30866,0,0,0,0,10,150447,1,9403,19,498054,0,0,1,37814,0,0,7,126538,0,0,0,0,1,25117,14,202322,11,118047,48,1002982
200106,基隆港,836,10358089,234,1623633,10,199429,9,138286,25,198856,0,0,0,0,7,69373,16,168697,41,713679,4,44975,4,8480,1,5464,0,0,0,0,0,0,59,1115848,3,32665,246,3360640,0,0,0,0,30,171344,19,222700,0,0,6,14453,0,0,0,0,8,111548,1,8575,16,394196,0,0,2,11443,0,0,7,92662,5,21029,0,0,2,60029,18,250802,11,129258,52,1190025
200107,基隆港,789,10063958,228,1451900,8,171582,6,38394,25,254617,0,0,0,0,6,51000,9,96820,39,602679,7,135136,2,2724,0,0,0,0,2,57962,0,0,55,1041748,3,97887,245,3643973,0,0,0,0,28,166121,15,171813,0,0,7,17722,0,0,0,0,5,75861,1,40068,18,423033,0,0,0,0,0,0,6,83490,0,0,0,0,3,75351,13,248012,12,142150,46,973915
200108,基隆港,917,10723639,336,2057365,9,156732,16,257667,26,204576,0,0,0,0,0,0,15,183892,39,555096,5,42744,1,1222,0,0,0,0,0,0,0,0,55,1113299,1,32629,245,3456622,0,0,0,0,24,151914,11,127499,0,0,9,28570,0,0,0,0,5,76485,1,40068,18,416324,0,0,0,0,0,0,9,66838,0,0,0,0,1,42304,24,396338,13,158510,54,1156945
200109,基隆港,692,9317172,194,1392217,6,151721,12,92668,15,132522,0,0,1,1421,3,32134,13,177864,35,599062,6,108448,0,0,0,0,0,0,2,57962,0,0,48,998009,2,65258,226,3448891,0,0,1,1492,18,145131,7,76666,0,0,2,5048,0,0,0,0,4,61583,0,0,22,475778,0,0,1,11894,0,0,7,85392,2,4982,0,0,1,42304,18,259696,8,114470,38,774559
200110,基隆港,810,10033405,270,1566450,7,175765,12,109081,16,120737,0,0,1,11272,3,30990,10,115254,42,616262,5,54595,2,2386,0,0,1,38852,0,0,0,0,56,1291435,2,65258,233,3491396,0,0,0,0,23,164413,12,135553,0,0,8,38418,0,0,0,0,4,64779,1,40068,16,340533,0,0,2,5358,0,0,6,49894,2,16763,0,0,3,94223,28,475339,8,113949,37,804382
200111,基隆港,769,10179229,210,1523254,11,268016,9,153083,18,139384,0,0,1,11272,0,0,11,123603,39,624056,5,100196,2,2711,0,0,0,0,1,28981,0,0,57,1111185,2,65258,262,4166173,0,0,1,3016,20,136325,11,81185,0,0,11,60646,0,0,0,0,2,25880,1,40068,17,346628,0,0,5,44014,0,0,12,106061,5,43056,0,0,2,77902,18,299326,10,111438,26,486512
200112,基隆港,758,9661909,210,1549590,14,193403,8,193083,24,231775,0,0,3,28767,1,9997,7,98859,45,637130,3,27035,0,0,0,0,0,0,0,0,0,0,69,1347721,2,65258,237,3310406,0,0,0,0,19,127088,11,119129,0,0,10,48923,0,0,0,0,7,91666,1,40068,13,298718,1,38395,0,0,0,0,7,63311,1,1172,0,0,0,0,24,406984,12,144249,29,589182
200201,基隆港,703,9575387,193,1415509,7,164760,6,94009,18,162860,0,0,1,11977,0,0,6,66517,42,607647,3,34193,0,0,1,6135,0,0,1,28981,0,0,72,1606939,3,97887,229,3493992,0,0,0,0,20,160437,11,113066,0,0,7,46121,0,0,0,0,6,62000,1,40068,12,308160,0,0,2,29486,0,0,6,116042,0,0,0,0,0,0,16,259714,13,142406,27,506481
200202,基隆港,526,7376288,132,1088674,5,121748,6,133175,12,209158,0,0,3,25375,1,10330,7,65209,41,535095,3,66967,0,0,0,0,0,0,0,0,0,0,45,972597,2,65258,179,2508237,0,0,0,0,10,94206,8,141480,0,0,6,26542,0,0,0,0,3,33883,0,0,11,192032,1,38395,0,0,0,0,5,70097,0,0,0,0,1,29499,12,212690,8,94677,25,640964
200203,基隆港,727,9672052,196,1540786,5,102109,8,83938,10,135758,0,0,4,38707,3,40466,7,56217,56,861316,7,131208,0,0,1,6135,0,0,2,57962,0,0,54,1063403,3,97887,236,3376725,0,0,0,0,23,209666,18,218465,0,0,3,28550,0,0,0,0,4,75106,1,40068,13,313262,0,0,0,0,0,0,7,78965,0,0,0,0,0,0,15,237687,10,107162,41,770504
200204,基隆港,772,9739809,229,1428496,7,100886,10,95000,11,178482,0,0,4,41454,0,0,6,49495,45,570257,5,54212,1,1502,1,5464,2,33701,0,0,0,0,62,1546793,1,32629,240,3198721,0,0,0,0,32,231319,10,83553,0,0,7,59461,0,0,0,0,2,34850,1,40068,14,315810,0,0,1,9019,0,0,8,106193,2,3859,0,0,3,158119,14,195772,10,108212,44,1056482
200205,基隆港,808,10603395,242,1726312,6,76089,14,82072,13,171323,0,0,6,56228,1,3293,10,87346,59,857880,7,85092,0,0,3,22410,0,0,2,57962,0,0,71,1723596,0,0,214,3048930,0,0,0,0,26,213462,16,174721,0,0,5,55247,0,0,0,0,3,58903,0,0,12,253501,0,0,1,5818,0,0,9,137459,2,13286,0,0,2,87773,14,226859,10,93804,60,1284029
200206,基隆港,776,10068946,229,1667413,6,131328,18,164990,16,213447,0,0,6,55344,0,0,10,99032,63,853504,4,70311,1,1502,4,29880,0,0,0,0,0,0,57,1476547,1,50308,219,2838934,0,0,0,0,30,228355,12,170853,0,0,7,40089,0,0,0,0,7,133359,0,0,9,185308,1,38395,1,11894,0,0,7,82943,1,2815,0,0,2,130118,15,212551,2,70202,48,1109524
200207,基隆港,830,10417981,268,1572679,8,109801,14,55656,17,240042,0,0,6,65406,2,15741,7,58785,55,737001,3,77609,1,1502,3,22410,0,0,1,28981,0,0,64,1640402,0,0,231,3126785,0,0,3,21546,26,225623,15,187305,0,0,5,22051,0,0,0,0,5,105475,1,40068,8,162180,1,29498,1,10990,0,0,6,98547,1,1395,0,0,1,65059,17,246633,7,176929,53,1271882
200208,基隆港,848,10661930,272,1894009,8,170710,10,106259,19,219609,0,0,7,59568,2,13865,11,89639,66,928532,8,103868,1,1222,5,34310,0,0,0,0,0,0,61,1392470,0,0,217,2885319,0,0,2,19984,24,181996,15,189430,0,0,7,34374,0,0,0,0,8,164707,0,0,10,214782,0,0,2,28826,0,0,7,108145,2,3987,0,0,3,157684,21,304785,4,92418,56,1261432
200209,基隆港,811,10351734,249,1672569,7,111321,10,83275,27,313443,0,0,4,47918,0,0,9,99108,51,710740,2,27080,0,0,5,35552,0,0,0,0,0,0,81,1833092,0,0,224,2889836,0,0,3,29976,21,157224,13,177127,0,0,4,21441,0,0,0,0,6,125887,0,0,10,239927,0,0,1,6792,0,0,7,123895,1,10471,0,0,6,263504,22,355698,9,233377,39,782481
200210,基隆港,811,10523279,221,1635335,11,218114,15,114677,25,294498,0,0,3,29954,2,15905,9,120750,49,767055,3,31383,1,1222,4,29880,0,0,1,28981,0,0,90,1996892,0,0,234,2837443,0,0,4,39968,20,130425,12,149342,0,0,3,4037,0,0,0,0,3,64956,2,58665,9,195457,0,0,1,5994,0,0,7,93746,0,0,0,0,1,65059,23,349336,10,165660,48,1078545
200211,基隆港,724,10154388,199,1827654,6,113205,11,47515,25,325415,0,0,6,65442,1,7659,6,97261,51,780328,3,32632,7,76085,4,22907,0,0,0,0,0,0,86,1899822,0,0,212,2812858,0,0,0,0,13,92981,4,50781,0,0,3,9957,0,0,0,0,5,111256,0,0,10,217038,0,0,0,0,0,0,7,108147,0,0,0,0,1,42260,18,270399,8,91597,38,1051189
200212,基隆港,749,9865429,211,1743671,8,159312,12,91121,27,338827,0,0,8,92233,0,0,10,142842,47,603307,2,69259,6,84879,4,29880,0,0,0,0,0,0,77,1704886,0,0,206,2522076,0,0,1,9992,20,164720,7,134045,0,0,9,29139,0,0,0,0,7,155609,0,0,11,210403,1,38395,0,0,0,0,5,69247,1,10471,0,0,2,76090,22,365327,7,126762,38,892936
200301,基隆港,708,9355105,212,1815492,6,134901,17,94239,27,387783,0,0,12,114885,0,0,6,97262,48,680658,2,27080,6,59361,6,36049,0,0,0,0,0,0,71,1561750,0,0,189,2510816,0,0,0,0,16,135734,7,107330,0,0,4,37889,0,0,0,0,9,188529,0,0,8,162710,1,38395,0,0,0,0,6,100706,3,14786,0,0,1,42260,16,241918,11,223628,24,540944
200302,基隆港,564,7053940,161,1299222,4,71385,13,60416,22,256055,0,0,2,23954,0,0,8,112858,43,563319,2,27080,5,54060,4,29880,0,0,0,0,0,0,57,1100517,1,32629,156,1992236,0,0,0,0,16,149050,7,101407,0,0,3,4330,0,0,0,0,8,167170,0,0,5,85660,0,0,1,8448,0,0,5,93848,0,0,0,0,1,53453,13,223221,6,97313,21,446429
200303,基隆港,764,9415495,220,1588351,6,108563,12,50859,37,402159,0,0,8,96318,0,0,15,174865,48,680133,6,59516,9,98532,3,22410,1,28195,0,0,0,0,71,1385469,1,32629,200,2509681,0,0,0,0,19,128204,13,209158,0,0,5,50265,0,0,0,0,10,174078,0,0,11,193232,0,0,0,0,0,0,6,59935,1,10471,0,0,2,84564,24,502732,7,113250,29,651926
200304,基隆港,759,9301859,214,1390142,14,128439,13,72847,43,583429,0,0,8,98373,1,16518,14,186603,45,664087,3,33868,11,74943,6,36683,1,23635,1,26464,0,0,71,1384154,2,32648,190,2498869,0,0,0,0,19,147522,10,145290,0,0,4,5003,0,0,0,0,11,177509,0,0,15,269392,0,0,1,19573,0,0,6,75546,0,0,0,0,4,156465,22,445023,9,159554,21,449280
200305,基隆港,772,9132774,233,1556951,5,60461,13,54255,34,377608,0,0,10,113733,3,20306,14,198783,48,641633,3,40620,9,90513,3,15437,1,28739,0,0,0,0,66,1282452,0,0,194,2504696,0,0,0,0,27,196692,10,141060,0,0,4,9075,0,0,0,0,16,266847,0,0,14,269647,0,0,1,19573,0,0,8,102193,1,1395,0,0,2,95713,27,523887,9,138257,17,382248
200306,基隆港,753,9396847,198,1370063,12,116625,11,100591,36,455285,0,0,6,70141,5,43451,12,118971,48,676285,1,13540,8,76408,3,20612,0,0,0,0,0,0,65,1289922,0,0,213,2702139,0,0,0,0,23,211389,7,84904,0,0,2,4496,0,0,0,0,16,259366,0,0,14,236746,0,0,4,64303,0,0,5,52908,1,1172,0,0,1,42260,32,660763,8,128176,22,596331
200307,基隆港,828,9611554,254,1584815,9,147296,12,55843,38,389726,0,0,5,64049,4,37416,12,90874,53,724288,4,58922,6,86757,5,37350,1,16835,1,28981,0,0,68,1285475,1,19,216,2607218,0,0,0,0,22,206525,8,108681,0,0,7,59849,0,0,0,0,20,333936,0,0,8,150583,2,75526,3,47594,0,0,7,143445,0,0,0,0,2,95757,30,607677,8,124564,22,441553
200308,基隆港,807,9602676,238,1496556,6,119343,13,60586,32,373615,0,0,4,59644,5,46770,14,139636,64,853368,2,27080,8,83809,4,29880,0,0,1,28981,0,0,75,1388511,0,0,201,2630689,0,0,0,0,22,170225,11,240190,0,0,7,51130,0,0,0,0,19,305956,0,0,8,147182,0,0,3,35970,0,0,5,90397,0,0,0,0,1,39941,28,456330,9,135880,27,591007
200309,基隆港,782,9396243,242,1391627,8,138263,11,55006,37,482710,0,0,6,82959,4,37416,17,193251,48,689102,4,57448,8,96675,4,29880,0,0,0,0,0,0,70,1386334,0,0,186,2434490,0,0,0,0,23,164217,5,99633,0,0,8,82448,0,0,0,0,20,344319,0,0,7,117856,1,48622,3,58719,0,0,4,57691,0,0,0,0,3,126179,32,585876,7,84625,24,550897
200310,基隆港,842,9933823,268,1530697,12,130178,14,62818,36,440835,0,0,6,67913,6,61364,14,122736,61,881447,6,105349,5,58415,4,29880,0,0,0,0,0,0,72,1485014,0,0,200,2789188,0,0,0,0,24,162981,10,221783,0,0,8,19465,0,0,0,0,15,263809,0,0,7,130912,0,0,3,61561,0,0,3,53200,0,0,0,0,1,42304,30,474146,9,102769,28,635059
200311,基隆港,746,9232183,224,1453796,8,143233,14,159195,30,354694,0,0,10,115011,0,0,12,107298,61,855988,4,57448,6,60267,2,14940,0,0,1,28981,0,0,63,1259427,0,0,200,2836584,0,0,0,0,18,140432,7,157395,0,0,3,7047,0,0,0,0,15,253217,0,0,7,129096,0,0,1,19573,0,0,2,45978,0,0,0,0,1,53453,29,465541,8,124566,20,389023
200312,基隆港,794,9971798,240,1564139,10,146269,15,60431,37,447380,0,0,7,85678,0,0,12,110168,65,959822,6,118428,6,73183,5,30377,2,45573,1,28981,0,0,68,1337548,1,19,195,2934261,0,0,0,0,23,175503,14,244373,0,0,4,21680,0,0,0,0,17,291233,0,0,4,72726,1,37800,0,0,0,0,1,45596,3,22109,0,0,2,95757,27,460214,9,135878,19,426672
200401,基隆港,751,9012060,234,1434336,10,148534,15,67729,33,388683,0,0,10,124815,1,12474,8,75944,61,869556,4,57448,3,35554,5,36195,0,0,1,26464,0,0,57,969243,1,19,185,2658105,0,0,0,0,23,201743,16,321132,0,0,4,8557,0,0,0,0,18,321954,0,0,4,76253,0,0,0,0,0,0,3,81412,0,0,0,0,1,42304,24,409966,4,45252,26,598388
200402,基隆港,756,9220061,240,1465045,6,118488,15,178668,31,307945,0,0,9,113022,0,0,10,111273,66,936552,3,43908,7,66559,4,29880,0,0,0,0,0,0,61,1211934,0,0,187,2705249,0,0,0,0,20,139333,14,256828,0,0,1,1528,0,0,0,0,14,237349,0,0,5,96933,0,0,1,22415,0,0,2,62568,1,10471,0,0,1,53453,31,551837,5,57256,22,441567
200403,基隆港,831,9735846,277,1439996,9,155192,14,122810,32,347304,0,0,7,73969,0,0,9,78710,61,855891,4,57448,4,68428,5,37350,1,28739,0,0,0,0,79,1690118,0,0,192,2594513,0,0,0,0,27,211089,17,381173,0,0,2,3981,0,0,0,0,21,339771,0,0,7,125333,0,0,0,0,0,0,2,45361,1,10471,0,0,1,42304,23,280948,6,88083,30,656864
200404,基隆港,857,9616047,319,1682390,7,156092,13,134864,38,491901,0,0,11,141470,1,11474,11,105211,64,879556,5,57154,3,24604,4,29880,0,0,1,28981,0,0,72,1257520,0,0,186,2683245,0,0,0,0,27,200805,16,308168,0,0,3,6985,0,0,0,0,20,342440,0,0,5,100150,0,0,1,22415,0,0,3,86132,1,10471,0,0,1,53453,17,227287,7,104973,21,468426
200405,基隆港,863,9575106,306,1557460,8,89162,16,104548,35,470910,0,0,8,107552,0,0,5,41995,69,1072349,2,30368,4,10959,1,7470,0,0,1,28981,0,0,64,1079300,1,20,209,2973772,0,0,0,0,31,213978,14,250185,0,0,7,16315,0,0,0,0,20,318842,0,0,5,88359,1,26617,0,0,0,0,2,61526,1,10471,0,0,2,95757,18,230829,2,38020,31,649361
200406,基隆港,801,9097102,271,1408680,7,104390,21,154489,40,427003,0,0,11,120189,2,17173,8,78696,60,875131,6,115064,4,68428,0,0,0,0,1,28981,0,0,62,1167140,1,65,188,2899210,0,0,0,0,23,175859,17,310096,0,0,6,17004,0,0,1,17331,16,296253,0,0,1,25713,0,0,0,0,0,0,1,23129,1,10471,0,0,0,0,16,241458,5,67743,32,447406
200407,基隆港,856,9039100,323,1565408,5,76936,20,158086,55,606207,0,0,12,130162,0,0,7,57626,57,792449,6,86183,3,7932,0,0,0,0,0,0,0,0,62,1139753,0,0,195,2822606,0,0,0,0,23,167785,16,231190,0,0,4,10751,0,0,0,0,13,231629,0,0,3,51988,0,0,2,38756,0,0,2,40502,2,24829,0,0,1,53453,15,200766,2,33807,28,510296
200408,基隆港,767,8539318,258,1388724,6,93430,22,201655,45,502948,0,0,12,135805,3,16849,9,86192,56,775486,4,57448,3,7684,0,0,0,0,0,0,0,0,57,1105774,0,0,183,2622148,0,0,0,0,24,159618,16,199644,0,0,4,6792,0,0,1,17331,16,313232,0,0,4,63215,1,44408,1,19573,0,0,2,56559,1,2815,0,0,2,83875,13,161650,1,16749,23,399714
200409,基隆港,778,8538028,268,1343955,7,124921,17,176382,45,521623,0,0,9,109832,4,30653,6,51704,63,839491,4,57448,6,73250,0,0,0,0,1,28981,0,0,54,1065504,0,0,183,2541246,0,0,0,0,22,167158,14,147194,0,0,4,13307,0,0,0,0,15,267583,0,0,8,145297,0,0,1,19573,0,0,2,45962,0,0,0,0,0,0,13,179694,4,61219,28,526051
200410,基隆港,725,8530508,219,1227817,9,170119,25,189178,40,507988,0,0,10,106846,4,35748,7,57255,55,829891,5,62008,6,63900,0,0,0,0,0,0,0,0,61,1262596,1,19,176,2519912,0,0,0,0,20,159063,15,172147,0,0,6,15843,0,0,1,17331,12,212286,0,0,10,160631,0,0,0,0,0,0,3,114090,1,14358,0,0,0,0,11,206773,2,36545,26,388164
200411,基隆港,740,8353258,241,1316530,7,135837,18,147337,45,490994,0,0,7,74579,3,18821,9,69307,57,763530,5,66555,8,82363,0,0,0,0,0,0,0,0,57,1174776,0,0,166,2308943,0,0,0,0,23,183211,15,198228,0,0,4,10955,0,0,1,1556,18,327310,0,0,12,202672,0,0,0,0,0,0,4,137893,0,0,0,0,1,53453,12,134670,4,50685,23,403053
200412,基隆港,769,8814885,260,1445890,6,135445,23,219452,41,443920,0,0,8,79996,5,39452,0,0,54,763816,3,43908,4,23673,0,0,0,0,1,28981,0,0,59,1197548,0,0,188,2699088,0,0,0,0,19,159382,21,326659,0,0,6,15024,0,0,2,19689,14,247588,0,0,11,205497,0,0,1,22627,0,0,0,0,0,0,0,0,1,53453,14,227076,6,91999,22,324722
200501,基隆港,794,8985342,272,1582042,5,106589,28,256124,50,563055,0,0,8,89357,4,36639,3,47318,55,784676,3,43908,3,7037,0,0,0,0,0,0,0,0,55,1041944,0,0,192,2642849,0,0,0,0,18,158416,19,271355,0,0,4,9794,0,0,1,2358,19,346960,0,0,14,306582,0,0,0,0,0,0,0,0,1,14358,0,0,0,0,7,110215,13,165785,20,397981
